EMDBID	MapModification	XmlModification	ImageModification	MapFile	XmlFile	ImageFile
0033	09/01/18	12/14/18	09/01/18	/pub/databases/emdb/structures/EMD-0033/map/emd_0033.map.gz	/pub/databases/emdb/structures/EMD-0033/header/emd-0033.xml	/pub/databases/emdb/structures/EMD-0033/images/emd_0033.png
0034	09/01/18	12/14/18	09/01/18	/pub/databases/emdb/structures/EMD-0034/map/emd_0034.map.gz	/pub/databases/emdb/structures/EMD-0034/header/emd-0034.xml	/pub/databases/emdb/structures/EMD-0034/images/emd_0034.png
0035	09/01/18	12/14/18	09/01/18	/pub/databases/emdb/structures/EMD-0035/map/emd_0035.map.gz	/pub/databases/emdb/structures/EMD-0035/header/emd-0035.xml	/pub/databases/emdb/structures/EMD-0035/images/emd_0035.png
0036	09/01/18	12/14/18	09/01/18	/pub/databases/emdb/structures/EMD-0036/map/emd_0036.map.gz	/pub/databases/emdb/structures/EMD-0036/header/emd-0036.xml	/pub/databases/emdb/structures/EMD-0036/images/emd_0036.png
0037	09/01/18	12/14/18	09/01/18	/pub/databases/emdb/structures/EMD-0037/map/emd_0037.map.gz	/pub/databases/emdb/structures/EMD-0037/header/emd-0037.xml	/pub/databases/emdb/structures/EMD-0037/images/emd_0037.png
0038	08/30/18	12/14/18	08/30/18	/pub/databases/emdb/structures/EMD-0038/map/emd_0038.map.gz	/pub/databases/emdb/structures/EMD-0038/header/emd-0038.xml	/pub/databases/emdb/structures/EMD-0038/images/emd_0038.png
0039	09/17/18	12/14/18	09/17/18	/pub/databases/emdb/structures/EMD-0039/map/emd_0039.map.gz	/pub/databases/emdb/structures/EMD-0039/header/emd-0039.xml	/pub/databases/emdb/structures/EMD-0039/images/emd_0039.png
0040	09/01/18	12/14/18	09/01/18	/pub/databases/emdb/structures/EMD-0040/map/emd_0040.map.gz	/pub/databases/emdb/structures/EMD-0040/header/emd-0040.xml	/pub/databases/emdb/structures/EMD-0040/images/emd_0040.png
0041	09/01/18	12/14/18	09/01/18	/pub/databases/emdb/structures/EMD-0041/map/emd_0041.map.gz	/pub/databases/emdb/structures/EMD-0041/header/emd-0041.xml	/pub/databases/emdb/structures/EMD-0041/images/emd_0041.png
0042	09/01/18	12/14/18	09/01/18	/pub/databases/emdb/structures/EMD-0042/map/emd_0042.map.gz	/pub/databases/emdb/structures/EMD-0042/header/emd-0042.xml	/pub/databases/emdb/structures/EMD-0042/images/emd_0042.png
0044	10/08/18	12/14/18	10/08/18	/pub/databases/emdb/structures/EMD-0044/map/emd_0044.map.gz	/pub/databases/emdb/structures/EMD-0044/header/emd-0044.xml	/pub/databases/emdb/structures/EMD-0044/images/emd_0044.png
0047	06/30/18	12/14/18	06/30/18	/pub/databases/emdb/structures/EMD-0047/map/emd_0047.map.gz	/pub/databases/emdb/structures/EMD-0047/header/emd-0047.xml	/pub/databases/emdb/structures/EMD-0047/images/emd_0047.png
0048	11/22/18	12/14/18	11/22/18	/pub/databases/emdb/structures/EMD-0048/map/emd_0048.map.gz	/pub/databases/emdb/structures/EMD-0048/header/emd-0048.xml	/pub/databases/emdb/structures/EMD-0048/images/emd_0048.png
0049	06/30/18	12/14/18	06/30/18	/pub/databases/emdb/structures/EMD-0049/map/emd_0049.map.gz	/pub/databases/emdb/structures/EMD-0049/header/emd-0049.xml	/pub/databases/emdb/structures/EMD-0049/images/emd_0049.png
0051	07/21/18	12/14/18	07/21/18	/pub/databases/emdb/structures/EMD-0051/map/emd_0051.map.gz	/pub/databases/emdb/structures/EMD-0051/header/emd-0051.xml	/pub/databases/emdb/structures/EMD-0051/images/emd_0051.png
0052	11/21/18	12/14/18	11/21/18	/pub/databases/emdb/structures/EMD-0052/map/emd_0052.map.gz	/pub/databases/emdb/structures/EMD-0052/header/emd-0052.xml	/pub/databases/emdb/structures/EMD-0052/images/emd_0052.png
0054	01/09/19	01/11/19	01/09/19	/pub/databases/emdb/structures/EMD-0054/map/emd_0054.map.gz	/pub/databases/emdb/structures/EMD-0054/header/emd-0054.xml	/pub/databases/emdb/structures/EMD-0054/images/emd_0054.png
0055	07/30/18	12/14/18	07/30/18	/pub/databases/emdb/structures/EMD-0055/map/emd_0055.map.gz	/pub/databases/emdb/structures/EMD-0055/header/emd-0055.xml	/pub/databases/emdb/structures/EMD-0055/images/emd_0055.png
0056	01/09/19	01/11/19	01/09/19	/pub/databases/emdb/structures/EMD-0056/map/emd_0056.map.gz	/pub/databases/emdb/structures/EMD-0056/header/emd-0056.xml	/pub/databases/emdb/structures/EMD-0056/images/emd_0056.png
0061	12/11/18	12/21/18	12/11/18	/pub/databases/emdb/structures/EMD-0061/map/emd_0061.map.gz	/pub/databases/emdb/structures/EMD-0061/header/emd-0061.xml	/pub/databases/emdb/structures/EMD-0061/images/emd_0061.png
0062	12/11/18	12/21/18	12/11/18	/pub/databases/emdb/structures/EMD-0062/map/emd_0062.map.gz	/pub/databases/emdb/structures/EMD-0062/header/emd-0062.xml	/pub/databases/emdb/structures/EMD-0062/images/emd_0062.png
0063	12/11/18	12/21/18	12/11/18	/pub/databases/emdb/structures/EMD-0063/map/emd_0063.map.gz	/pub/databases/emdb/structures/EMD-0063/header/emd-0063.xml	/pub/databases/emdb/structures/EMD-0063/images/emd_0063.png
