iRMSD Exponent,Intercept,vdw,vdw_attr,vdw_rep,elec,elec_sr_attr,elec_lr_attr,elec_sr_rep,elec_lr_rep,hbp_ss,solv,sasa,acp
0,8.2925905454,-0.0017337991,-0.1053329119,-0.0002957869,0.0016741852,-0.0281586471,0.0040709288,-0.0252460249,0.0043397522,0.0562536899,0.0021819442,-0.0223270710,-0.0116122068
-1,10.2568979799,0.0344476058,-0.0325094891,-0.0001467928,0.0028073761,-0.0316408466,0.0048124499,-0.0257159574,0.0053794388,0.1593854688,0.0062563036,-0.0218844705,0.0969206024
-2,11.4433850826,0.0889898728,0.0770239174,0.0001575938,0.0026208848,-0.0372884718,0.0056853110,-0.0264178862,0.0063849003,0.3011162702,0.0084062648,-0.0179049040,0.2388566883
-3,5.4638198332,0.0485355159,0.0355531839,0.0003370777,0.0008409698,-0.0257910002,0.0036724271,-0.0198382519,0.0041591863,0.1568843471,0.0036546451,-0.0079020094,0.1359275870
-4,2.0139042013,0.0151053609,0.0166100454,0.0002215604,0.0004073767,-0.0044206342,0.0006924155,-0.0038669973,0.0004531712,0.0203366224,0.0006789315,-0.0018016753,0.0228992276
-5,1.220600e+00,8.258422e-03,1.124553e-02,1.218583e-04,2.730523e-04,1.752037e-04,1.265164e-04,-1.131655e-04,-3.482375e-05,-4.778491e-04,1.365655e-04,-3.532715e-04,-6.242631e-05
